number,description,dimensions,product_number
5167-55,Buffet / Server,57 x 18.75 x 36H,5167-96*
5177-54,Round Dining Table,53.5 Dia x 30H,5177-54
5177S,Side Chair,21.75 x 22.25 x 36.5H,5177-54
5177-84,Dining Table,40 x 84 x 30H,5177-84
5177S,Side Chair,21.75 x 22.25 x 36.5H,5177-84
5178-60,"Dining Table, Faux Marble Top",36 x 60 x 30H,5178-60
5178BRS,"Side Chair, Camel Brown",17 x 23.25 x 39.5H,5178-60
5178GYS,Side Chair,17 x 23.25 x 39.25H,5178-60
5179-90*,Dining Table,42 x 72 - 90 x 30H,5179-90*
5179-S2,Side Chair,20.25 x 23.5 x 40H,5179-90*
5179-13,60” Bench,60.25 x 18.25 x 20H,5179-90*
5179-40,Server,56 x 18 x 36.5H,5179-90*
5235-54*,Dining Table,54 x 54 x 30H,5235-54*
5235S,Side Chair,20 x 23 x 38H,5235-54*
5249-59*,Dining Table,35.5 X 59 X 30H,5249-59*
5249-S2,Side Chair,21.5 X 16.5 X 40H,5249-59*
5251-108*,Dining Table,42.25 x 72 - 90 - 107.5 x 30.25H,5251-108*
5251S,Side Chair,20 x 27 x 39H,5251-108*
2546-50*,Buffet &amp; Hutch,57.75 x 18.25 x 82.25H,5251-108*
2546-40*,Server,56.25 x 17.5 x 36H,5251-108*
2546-40M,Server Top with Mirror,56.25 x 13.5 x 22.5H,5251-108*
5267RF-96*,Dining Table,44 x 75.5 - 96 x 30H,5267RF-96*
5267RFA,Arm Chair,23.75 x 25 x 39H,5267RF-96*
5267RFS,Side Chair,20 x 25.5 x 41H,5267RF-96*
5267RF-50*,Buffet &amp; Hutch,58.5 x 18.75 x 80H,5267RF-96*
5268-48*,"Dining Table, Faux Marble Top",36 x 47.75 x 29.5H,5268-48*
5268S,Side Chair,18.75 x 21.75 x 38H,5268-48*
5275,"5-Piece Pack Dinette Set, Faux Marble Top",Table: 30 x 48 x 30H Chair: 17.75 x 20.75 x 38.5H,5275
5280-64,"Dining Table, Bluestone Marble Top",38 x 64 x 30H,5280-64
5280S,Side Chair,19 x 24 x 39H,5280-64
5280-13,49” Bench,49 x 18 x 20H,5280-64
5280-40,"Server, Bluestone Marble Top",56.25 x 18 x 34H,5280-64
5281-64,"Dining Table, Bluestone Marble Top",38 x 64 x 30H,5281-64
5281S,Side Chair,19 x 25 x 39H,5281-64
5281-13,49” Bench,49 x 18 x 20H,5281-64
5285-64,"Dining Table, Faux Marble Top",38 x 64 x 30H,5285-64
5285S,Side Chair,19 x 25 x 39H,5285-64
5285-13,49” Bench,49 x 18 x 20H,5285-64
5302A,"5-Piece Pack Counter Height Set, Oak","Table: 36 x 36 x 36H
Stool:  18 x 9 x 24H",5302A
5302A-18,"18 SH Stool, RTA",18 x 9 x 18H,5302A
5302A-24,"24 SH Stool, RTA",18 x 9 x 24H,5302A
5302A-29,"29 SH Stool, RTA",18 x 9 x 29H,5302A
5302BK,"5-Piece Pack Counter Height Set, Black Sand - Through",Table: 36 x 36 x 36HStool:  18 x 9 x 24H,5302BK
5302BK-18,"18 SH Stool, RTA",18 x 9 x 18H,5302BK
5302BK-24,"24 SH Stool, RTA",18 x 9 x 24H,5302BK
5302BK-29,"29 SH Stool, RTA",18 x 9 x 29H,5302BK
5302C,"5-Piece Pack Counter Height Set, Warm Cherry","Table: 36 x 36 x 36H
Stool:  18 x 9 x 24H",5302C
5302C-18,"18 SH Stool, RTA",18 x 9 x 18H,5302C
5302C-24,"24 SH Stool, RTA",18 x 9 x 24H,5302C
5302C-29,"29 SH Stool, RTA",18 x 9 x 29H,5302C
5309-3A,3-Piece Pack Counter Height Set,Table: 23.75 x 47.25 x 35.5HStool:  17.5 x 15 x 25H,5309-3A
5310BK,"3-Piece Pack Counter Height Set, Black",Table:  32 x 24 x 34HStool: 19 x 13 x 24H,5310BK
5310C,"3-Piece Pack Counter Height Set, Cherry","Table:  32 x 24 x 34H
Stool: 19 x 13 x 24H",5310C
5310W,"3-Piece Pack Counter Height Set, White",Table:  32 x 24 x 34HStool: 19 x 13 x 24H,5310W
5323-24,Counter Height Stool,19 x 11.5 x 24H,5323-24
5323-29,Pub Height Stool,19 x 11.5 x 29H,5323-24
5327-48,Round Dining Table,48 Dia x 30H,5327-48
5327S,Side Chair,20.5 x 24 x 40.75H,5327-48
5328-45RD*,Round Pedestal Dining Table,45 Dia x 30H,5328-45RD*
5328S,Side Chair,18.5 x 19 x 36H,5328-45RD*
5328-40,Server,56.75 x 18 x 34H,5328-45RD*
5328-96*,Double Pedestal Dining Table,42 x 77.5 - 95.5 x 30H,5328-96*
5328S,Side Chair,18.5 x 19 x 36H,5328-96*
5328-40,Server,56.75 x 18 x 34H,5328-96*
5346-36,Counter Height Table,60 x 48 - 60 x 36H,5346-36
5346-24,Counter Height Chair,19.5 x 21.25 x 41H,5346-36
5346-40,Server,52 x 18.25 x 36H,5346-36
5346-82,Dining Table,42 x 64 - 82 x 30H,5346-82
5346S,Side Chair,19 x 23 x 40H,5346-82
5346-14,60” Bench,60 x 17 x 20H,5346-82
5346-40,Server,52 x 18.25 x 36H,5346-82
5351-36*,Counter Height Table,48 x 48 x 36H,5351-36*
5351-24,Counter Height Chair,18 x 22 x 40H,5351-36*
5351-24BH,Counter Height Bench,41 x 15 x 25H,5351-36*
5351-24CR,Counter Height Corner Chair,47 x 26 x 40H,5351-36*
5351-24TS,Counter Height 2-Seater Chair,41 x 22 x 40H,5351-36*
5372-72,Dining Table,42 x 54 - 72 x 30H,5372-72
5372S,Side Chair,19.25 x 23.75 x 40H,5372-72
5372-50,Curio,47.75 x 17.75 x 61H,5372-72
5400-36XL,Counter Height Table,42 x 59.5 - 77.5 x 36H,5400-36XL*
5400-24,Counter Height Chair,20.25 x 21.5 x 42H,5400-36XL*
5400-24SW,Counter Height Swivel Chair,21 x 20.25 x 41.75H,5400-36XL*
5400-24BH,Counter Height Bench,64.25 x 16.25 x 25.75H,5400-36XL*
5400-50,Buffet &amp; Hutch,64 X 20 X 86.25H,5400-36XL*
5400-55,Buffet / Server,61 X 20 X 35H,5400-36XL*
5400-07,Kitchen Cart with Casters,52 x 28 x 36H,5400-36XL*
5400-94*,Dining Table,44 x 76 - 94 x 30H,5400-94*
5400A,Arm Chair,23.75 x 21.5 x 40.25H,5400-94*
5400S,Side chair,20.25 x 21.5 x 40.25H,5400-94*
5400-13,66” Bench,66 x 16 x 17.75H,5400-94*
5400-50*,Buffet &amp; Hutch,64 x 20 x 86.25H,5400-94*
5400-55,Buffet / Server,61 X 20 X 35H,5400-94*
5400-07,Kitchen Cart with Casters,52 x 28 x 36H,5400-94*
5404-54,Round Dining Table,54 Dia x 30H,5404-54
5404S,"Side Chair, Fabric",19.25 x 24.25 x 40.25H,5404-54
5404PUS,"Side Chair, Bi-Cast Vinyl",19.25 x 24.25 x 40.25H,5404-54
5409-78,Dining Table,42 x 60 - 78 x 30H,5409-78
5409S,Side Chair,20 x 23.75 x 40H,5409-78
5409RF-40,Server,54 x 18 x 36H,5409-78
5411RF-82,Dining Table,42 x 64 - 82 x 30H,5411RF-82
5411RFS,Side Chair,18 x 22 x 39H,5411RF-82
5411RF-40,Server,52 x 18 x 38H,5411RF-82
5415RF-78*,Dining Table,40 x 60 - 78 x 30H,5415RF-78*
5415RFS,Side Chair,19.75 x 24 x 38.5H,5415RF-78*
5415RF-13,58” Bench,58 x 16 x 18H,5415RF-78*
5415RF-40,Server,60 x 18 x 34H,5415RF-78*
5423-66,Dining Table,38 x 66 x 30H,5423-66
5423S,Side Chair,18.75 x 24.5 x 40H,5423-66
5424-78,Dining Table,42 X 60-78 X 30H,5424-78*
5424A,Arm Chair,22 X 24.5 X 39H,5424-78*
5424S,Side Chair,20 X 24.5 X 39H,5424-78*
5424-13,Bench,52 X 16 X 18H,5424-78*
5424-40,"Server, Glass Insert",54 X 18 X 34H,5424-78*
5425-36,Counter Height Table,42 x 60 x 36.5H,5425-36
5425-24,Counter Height Chair,20 x 23 x 44H,5425-36
5425-40,Server,54 x 18 x 40H,5425-36
5425-90,Dining Table,42 x 72 - 90 x 30.5H,5425-90
5425S,Side Chair,20 x 23 x 41H,5425-90
5425-40,Server,54 x 18 x 40H,5425-90
5428-45RD*,Round Dining Table,45 Dia x 30H,5428-45RD*
5428-S1,Side Chair,18.5 x 25 x 39.5H,5428-45RD*
5428-S2,Side Wing Chair,22.5 x 23 x 39.75H,5428-45RD*
5428-S3,Curved Arm Chair,23.5 x 25.75 x 36.5H,5428-45RD*
5428-40,Server,56.75 x 18  x 36H,5428-45RD*
5428-84*,Dining Table,40 x 84 x 30H,5428-84*
5428-S1,Side Chair,18.5 x 25 x 39.5H,5428-84*
5428-S2,Side Wing Chair,22.5 x 23 x 39.75H,5428-84*
5428-S3,Curved Arm Chair,23.5 x 25.75 x 36.5H,5428-84*
5428-40,Server,56.75 x 18  x 36H,5428-84*
5429-36,Counter Height Table with Wine Rack,30 x 48 x 36H,5429-36
5429-24,"Counter Height Chair, Adjustable Height",22 x 22 x 37 - 42H,5429-36
5429-24ST,"Counter Height Stool, Adjustable Height",22 x 22 x 24 - 29H,5429-36
5429-36RD,"Round Counter Height Table, Adjustable Height",36 Dia x 36 - 42H,5429-36RD
5429-24,"Counter Height Chair, Adjustable Height",22 x 22 x 37 - 42H,5429-36RD
5429-24ST,"Counter Height Stool, Adjustable Height",22 x 22 x 24 - 29H,5429-36RD
5430-60,Dining Table,36 x 60 x 30H,5430-60
5430S,Side Chair,16.75 x 22.5 x 40.5H,5430-60
5431-36,Counter Height Table,49.75 x 65.75 x 36H,5431-36*
5431-24,Counter Height Chair,19 x 21.25 x 41.75H,5431-36*
5431-24BH,60” Counter Height Bench,60 x 24 x 25H,5431-36*
5431-40,Server,65 x 17.75 x 33.25H,5431-36*
5431-77*,Dining Table,41.75 x 59.25 - 77 x 30H,5431-77*
5431S,Side Chair,19 x 22.5 x 39.25H,5431-77*
5431-14,60” Bench,60 x 19.25 x 19.75H,5431-77*
5431-40,Server,65 x 17.75 x 33.25H,5431-77*
5435-36*,Counter Height Table,47.5 x 59.5 x 36H,5435-36*
5435-24,Counter Height Chair,18.5 x 22.5 x 31.25H,5435-36*
5435-24SW,Swivel Counter Height Chair,18.5 x 22.5 x 31.25H,5435-36*
5438-96*,Trestle Dining Table,42 x 76 - 96 x 30H,5438-96*
5438S,Side Chair,19.25 x 22 x 40H,5438-96*
5438-14A,62” Bench with Curved Arms,62 x 21 x 34H,5438-96*
5438-40,Server,66 x 19 x 38H,5438-96*
5445-60*,"Dining Table, Glass Top",36 x 60 x 29.5H,5445-60*
5445BKS,Side Chair,17.5 x 20.8 x 40H,5445-60*
5447-36*,Counter Height Table,47.5 x 47.5 x 36H,5447-36*
5447-24S,Swivel Counter Height Chair,20.5 x 23 x 41.25H,5447-36*
5447-24FAS,Swivel Counter Height Chair,20.5 x 23 x 41.25H,5447-36*
5447-40,Server,53 x 17.75 x 36H,5447-36*
5447-29S,Swivel Pub Height Chair,20.5 x 23 x 44.5H,5447-36*
5447-29FAS,Swivel Pub Height Chair,20.5 x 23 x 44.5H,5447-36*
5447-36XL*,Counter Height Table with Storage Base,47.5 x 53.5 - 71.25 x 36H,5447-36XL*
5447-24S,Swivel Counter Height Chair,20.5 x 23 x 41.25H,5447-36XL*
5447-24FAS,Swivel Counter Height Chair,20.5 x 23 x 41.25H,5447-36XL*
5447-40,Server,53 x 17.75 x 36H,5447-36XL*
5447-29S,Swivel Pub Height Chair,20.5 x 23 x 44.5H,5447-36XL*
5447-29FAS,Swivel Pub Height Chair,20.5 x 23 x 44.5H,5447-36XL*
5448-78*,Dining Table,46 x 60 - 78 x 30H,5448-78*
5448S,Side Chair,20.5 x 27.25 x 38.25H,5448-78*
5456,Dining Table,47.25 Dia x 30H,5456
5456S,Side Chair,21 x 19 x 39H,5456
5460-36,Counter Height Table,39.5 x 39.5 x 36H,5460-36
5460-24,Counter Height Chair,17.5 x 19 x 38.75H,5460-36
5466-62,"Dining Table, Marble Top",36 x 62 x 30H,5466-62
5466S,Side Chair,19 x 25 x 39H,5466-62
5466-13,49,49 x 18 x 20H,5466-62
5469-60,Dining Table,36 x 60 x 30H,5469-60
5469S,Side Chair,17.25 x 22.75 x 37.75H,5469-60
5470-72,"Dining Table, Faux Marble Top",42 x 72 x 30H,5470-72
5470S,Side Chair,20 x 25 x 40H,5470-72
5470-13,49” Bench,49 x 18 x 20H,5470-72
5473-103*,Double Pedestal Dining Table,48 x 79 - 103 x 30H,5473-103*
5473A,Arm Chair,25 x 25 x 40H,5473-103*
5473S,Side Chair,21 x 25 x 40H,5473-103*
5473-50*,Buffet &amp; Hutch,60.25 x 19.5 x 83.75H,5473-103*
5473-54,Round Dining Table,54 Dia x 30H,5473-54*
5473S,Side Chair,21 x 25 x 40H,5473-54*
5473-40,Server,54 x 18 x 35.5H,5473-54*
5477N-96,Dining Table,42 x 78 - 96 x 30H,5477N-96
5477NA,Arm Chair,25 x 26 x 41.5H,5477N-96
5477NS,Side Chair,20.5 x 26 x 41.5H,5477N-96
5477N-40,Server,57 x 18 x 35.5H,5477N-96
5478-72*,Dining Table,39 x 72 x 30H,5478-72*
5478S,Side Chair,20.5 x 23.75 x 34.5H,5478-72*
5478-13*,47.5” Bench,47.5 x 15.5 x 17.75H,5478-72*
5479-72*,Dining Table,39 x 72 x 30H,5479-72*
5479S,Side Chair,19 x 23 x 38H,5479-72*
5479-14*,60” Bench,60 x 15.5 x 17.75H,5479-72*
5480-36,Counter Height Table,36 x 76 x 35.5H,5480-36
5480-24,Counter Height Chair,19.5 x 23 x 42H,5480-36
5480-24BH,60” Counter Height Bench,60 x 16 x 24H,5480-36
5480-40,Server,54 x 18 x 36H,5480-36
5480-76,Dining Table,41.75 x 76 x 30H,5480-76
5480S,Side Chair,20 x 24 x 38H,5480-76
5480-14,60” Bench,60 x 16 x 18H,5480-76
5480-40,Server,54 x 18 x 36H,5480-76
5488-36RD*,"Round Dining Table, Adjustable Height",45 Dia x 30.25 - 36H,5488-36RD*
5488-24,"Round Stool, Adjustable Height",14.25 Dia x 19.75 - 25.25H,5488-36RD*
5489-36*,"Counter Height Table, Glass Insert",36 x 69 x 36H,5489-36*
5489-24,Swivel Counter Height Chair,16.5 Dia x 35.5H,5489-36*
5491-48*,"Round Dining Table, Glass Top",48 Dia x 30H,5491-48*
5491A,"Arm Chair, Beige Fabric",25 x 24 x 32.5H,5491-48*
5492-52,Round Dining Table,52 Dia x 30.25H,5492-52*
5492S,Side Chair,20 x 24.5 x 37.5H,5492-52*
5492-40,Server,54 x 18 x 38.25H,5492-52*
5494-106*,Double Pedestal Dining Table,45.5 x 84 - 106 x 30H,5494-106*
5494A,Arm Chair,23.5 x 31.25 x 42H,5494-106*
5494S,Side Chair,23.5 x 31.25 x 42H,5494-106*
5494-40,Server,71 x 21.25 x 35.5H,5494-106*
5494-76*,Round / Oval Pedestal Dining Table,60 x 60 - 76 x 30H,5494-76*
5494A,Arm Chair,23.5 x 31.25 x 42H,5494-76*
5494S,Side Chair,23.5 x 31.25 x 42H,5494-76*
5494-40,Server,71 x 21.25 x 35.5H,5494-76*
5496-78,Dining Table,42 x 60-78 x 30H,5496-78
5496S,Side Chair,19.25 x 22.25 x 40H,5496-78
5496-13,48” Bench,48 x 16.5 x 19.25H,5496-78
5496-40,Server,54 x 18 x 36H,5496-78
5503*,Dining Table,35.5 x 63 - 78.75 x 30H,5503*
5503S,Side Chair,16.5 x 22 x 39.5H,5503*
5504-78,Dining Table,42 x 60 - 78 x 30H,5504-78
5504S,Side Chair,18 x 22 x 40H,5504-78
5504-40,Server,60 x 18 x 42H,5504-78
5509-92*,Double Pedestal Dining Table,42 x 74 - 92 x 30H,5509-92*
5509A,Arm Chair,25 x 24.25 x 41H,5509-92*
5509S,Side Chair,21 x 24.25 x 41H,5509-92*
5509-50*,Buffet &amp; Hutch,51 x 17 x 80H,5509-92*
5510-36,Counter Height Table,36 x 66 x 36H,5510-36
5510-24,Counter Height Chair,19 x 22 x 40H,5510-36
5510S,Side Chair,19 x 23 x 38H,5510-66
5510-66,Dining Table,35.75 x 65.75 x 30H,5510-66
5511,6-Piece Pack Dinette Set,Table: 35.5 x 60 x 30HChair: 18 x 22 x 38HBench: 46 x 16.5 x 19H,5511
5511-36,5-Piece Pack Counter Height Set,Table: 42 x 42 x 36HChair: 18 x 20 x 40H,5511-36
5512-66,Dining Table,36 x 66 x 30H,5512-66
5512S,Side Chair,18 x 23 x 36H,5512-66
5513-64,Dining Table,38 x 64 x 30H,5513-64
5513S,Side Chair,19 x 24.75 x 39.5H,5513-64
5514-72,"Dining Table, Glass Top",42 x 72 x 30H,5514-72*
5514BUS,"Side Chair, Blue",22 x 25 x 40.5H,5514-72*
5514CHS,"Side Chair, Chocolate",22 x 25 x 40.5H,5514-72*
5514GYS,"Side Chair, Gray",22 x 25 x 40.5H,5514-72*
5514RDS,"Side Chair, Red",22 x 25 x 40.5H,5514-72*
5515GY,Dining Table,31 x 47.25 x 29.5H,5515GY
5515GYS,Side Chair,18.75 x 21.25 x 30.5H,5515GY
5516-66,Dining Table,38 x 66 x 29.75H,5516-66
5516BKS,"Side Chair, Black",17.25 x 23 x39H,5516-66
5516BMS,"Side Chair, Buttermilk",17.25 x 23 x39H,5516-66
5516TLS,"Side Chair, Teal",17.25 x 23 x39H,5516-66
5516WTS,"Side Chair, White",17.25 x 23 x39H,5516-66
5517-78,Dining Table,41.75 x 77 x 30H,5517-78
5517A,Arm Chair,22 x 22.5 x 33.5H,5517-78
5517-40,Server,53 x 17.75 x 36H,5517-78
5518-78*,Dining Table,42 x 60 - 78 x 30H,5518-78*
5518S,Side Chair,18.25 x 22 x 38H,5518-78*
5518-40,Server,52 x 19 x 36H,5518-78*
5520-78,Dining Table,40 x 60 - 78 x 29.5H,5520-78
5520S,Side Chair,20.5 x 22.5 x 40H,5520-78
5520-13,48” Bench,48 x 16 x 18H,5520-78
5520-40,Server,47.75 x 18 x 36H,5520-78
5525-36,"Counter Height Table, Black Glass Insert",54 x 54 x 36H,5525-36
5525DG-24,Counter Height  Chair,18 x 24.5 x 39.5H,5525-36
5525DG-24BH,40” Counter Height Bench,39.75 x 25 x 39.75H,5525-36
5525-40,Server,50 x 18 x 36H,5525-36
5525DGS,Side Chair,18 x 24.5 x 38H,5525-72
5525-40,Server,50 x 18 x 36H,5525-72
5525-72,"Dining Table, Black Glass Insert",40 x 72 x 30H,5525-72
5527-102,Dining Table,41.75 x 78.5 - 90.25 - 102 x 30H,5527-102*
5527S,Side Chair,19.5 x 23.75 x 39.5H,5527-102*
5527-14,Bench,60 x 15 x 19H,5527-102*
5527-40,Server,58 x 19 x 35H,5527-102*
5530-78*,Double Pedestal Dining Table,42 x 60 - 78 x 29.5H,5530-78*
5530A,Windsor Chair with Arms,25 x 24.25 x 41H,5530-78*
5530S,Windsor Chair,21.5 x 22 x 40.5H,5530-78*
5530-50,Curio,54 x 17.75 x 60.5H,5530-78*
5531-112*,Double Pedestal Dining Table,47.75 x 76 - 94 -112 x 30.25H,5531-112*
5531A,Arm Chair,24.5 x 27.25 x 41H,5531-112*
5531S,Side Chair,21 x 27.25 x 41H,5531-112*
5531-50*,Buffet &amp; Hutch,71 x 20 x 88H,5531-112*
5532-36*,"Counter Height Table, Glass Top",42 x 42 x 35.5H,5532-36*
5532-24,Counter Height Chair,17 x 20.25 x 43.25H,5532-36*
5536-102,Dining Table,44 x 72 - 87 - 102 x  30H,5536-102*
5536A,Arm Chair,24 x 22 x 42H,5536-102*
5536S,Side Chair,21 x 22 x 42H,5536-102*
5536-50,Hutch &amp; Buffet,57.75 x 18.25 x 82.5H,5536-102*
5538BK*,"Dining Table, Glass Top",31.5 x 55 x 29.5H,5538BK*
5538BKS,"Side Chair, Black Bi-Cast Vinyl",16.5 x 19.75 x 38.5H,5538BK*
5538W*,"Dining Table, Glass Top",31.5 x 55 x 29.5H,5538W*
5538WS,"Side Chair, White Bi-Cast Vinyl",16.5 x 19.75 x 38.5H,5538W*
5544-72,Dining Table,40 x 72 x 30H,5544-72
5544S,Side Chair,20.5 x 24.5 x 38H,5544-72
5544-13,50” Bench,50 x 16 x 17.75H,5544-72
5544-40,Server,54 x 18 x 36H,5544-72
5545-112,Dining Table,42 x 75.5 - 93.5 - 111.5 x 30H,5545-112*
5545A,Arm Chair,25.75 x 27.5 x 43.25H,5545-112*
5545S,Side Chair,19.25 x 24.25 x 41H,5545-112*
5545-40,Server,64.5 x 18 x 39H,5545-112*
5546-84,Dining Table,42 x 66 - 84 x 30.5H,5546-84
5546S,Side Chair,21.5 x 25.5 x 39.5H,5546-84
5546-50*,Buffet &amp; Hutch,60.25 x 18.5 x 80.5H,5546-84
5546-55,Buffet / Server,60 x 18.5 x 34.75H,5546-84
5547-36,Counter Height Table,54 x 36 - 54 x 36H,5547-36*
5547-24,Counter Height Chair,19 x 21.75 x 42H,5547-36*
5547-24BH,Counter Height Bench with Back,44.5 x 21.75 x 42H,5547-36*
5547-40,Server,52 x 18 x 36H,5547-36*
5547-78,Dining Table,42 x 60 - 78 x 30H,5547-78*
5547S,Side Chair,19.25 x 22.75 x 39.75H,5547-78*
5547-13,Bench,48 x16 x 19H,5547-78*
5547-40,Server,52 x 18 x 36H,5547-78*
5548-72,Dining Table,40 x 56-72 x 30H,5548-72*
5548A,Arm Chair,23 x 25 x 32.5H,5548-72*
5548S,Side Chair,21 x 21 x 34H,5548-72*
5548-13,Bench,48 x 16.5 x 19.5H,5548-72*
5550-32,3-Piece Pack Counter Height Set,Table: 23.75 x 47.25 x 36H Stool: 17.75 x 11.75 x 25H,5550-32
5555-72*,Dining Table,40 x 72 x 30H,5555-72
5555A,Arm Chair,21 x 24.25 x 33H,5555-72
5555-13,Bench,59.25 x 16.25 x 18H,5555-72
5555-40,Server,59.25 x 17.75 x 35.5H,5555-72
5559N-96,Dining Table,42 X 76 - 96 X 30H,5559N-96*
5559NS,Side Chair,19.75 X 23.75 X 39.75H,5559N-96*
5559N-14A,Bench with Curved Arms,62 X 22 X 34H,5559N-96*
5559N-40,Sever,66 X 19 X 38H,5559N-96*
5562-96,Dining Table,42 x 76-96 x 30H,5562-96*
5562S,Side Chair,20.5 x 23.5 x 40.5H,5562-96*
5562-40,Server,66 x 19 x 38H,5562-96*
5562RF-54,Round Dining Table,54Dia X 30H,5562RF-54*
5562RF-A2,Swivel Chair,25.5 X 25.5 X 33.5H,5562RF-54*
5562S,Side Chair,20.5 x 23.5 x 40.5H,5562RF-54*
5562-40,Server,66 x 19 x 38H,5562RF-54*
5566-36,"Counter Height Table, Glass Insert",36 x 69 x 36H,5566-36*
5566-24BK,"Swivel Counter Height Chair, Black",20.5 x 19 x 36.5H,5566-36*
5566-29BK,"Swivel Pub Height Chair, Black",20.5 x 19 x 39.5H,5566-36*
5566-24BR,"Swivel Counter Height Chair, Brown",20.5 x 19 x 36.5H,5566-36*
5566-29BR,"Swivel Pub Height Chair, Brown",20.5 x 19 x 39.5H,5566-36*
5566-24GY,"Swivel Counter Height Chair, Gray",20.5 x 19 x 36.5H,5566-36*
5566-29GY,"Swivel Pub Height Chair, Gray",20.5 x 19 x 39.5H,5566-36*
5566-24RD,"Swivel Counter Height Chair, Red",20.5 x 19 x 36.5H,5566-36*
5566-29RD,"Swivel Pub Height Chair, Red",20.5 x 19 x 39.5H,5566-36*
5566-24WT,"Swivel Counter Height Chair, White",20.5 x 19 x 36.5H,5566-36*
5566-29WT,"Swivel Pub Height Chair, White",20.5 x 19 x 39.5H,5566-36*
5568-78,Dining Table,42 x 60-78 x 30H,5568-78*
5568A,Arm Chair,21 x 26.25 x 38H,5568-78*
5568S,Side Chair,19 x 26.25 x 38H,5568-78*
5568-40,Server,54 x 18.75 x 38H,5568-78*
5569-78,Dining Table,42 x 60 - 78 x 30H,5569-78*
5569A,Arm Chair,21 x 25 x 38H,5569-78*
5569S,Side Chair,19 x 25 x 38H,5569-78*
5569-40,Server,54 x 18 x 38H,5569-78*
5572,5-Piece Pack Dinette Set,Table: 36 x 48 x 30HChair: 17.5 x 20 x 35.25H,5572
5573,5-Piece Pack Dinette Set,Table: 36 x 48 x 30HChair: 17.5 x 20 x 35.25H,5573
5575,Dining Table,35.5 x 59 x 29.5H,5575*
5575S,Side Chair,19.25 x 22.25 x 30.75H,5575*
5576RD,Round Dining Table,47.25 Dia x 29.5H,5576RD*
5576S,Side Chair,19.75 x 22 x 34.25H,5576RD*
5577GY-72*,"Dining Table, Glass Top",42 X 72 X 30.5H,5577GY-72*
5178GYS,Side Chair,17 x 23.25 x 39.25H,5577GY-72*
5578-32,4-Piece Pack Counter Height Set,Table: 48 x 23.5 x 35.5H Stool: 17.5 x 14 x 23.5H Bench: 42.5 x 14 x 23.5H,5578-32
5580-95,Dining Table,42 x 77 - 95 x 30H,5580-95*
5580S,Side Chair,19 x 24 x 37.5H,5580-95*
5580-40,Barndoor Server,56 x 18 x 36H,5580-95*
5581-54,Round Dining Table,53.5 Dia X 30H,5581-54*
5581S,Side Chair,17.5 X 21.75 X 38.25H,5581-54*
5581-40,Server,52 X 18 X 36H,5581-54*
5581-84,Dining Table,40 x 84 x 30H,5581-84*
5581A,Arm Chair,23.25 X 22 X 34H,5581-84*
5581S,Side Chair,17.5 X 21.75 X 38.25H,5581-84*
5581-13,Bench,52 X 16 X 20H,5581-84*
5581-40,Server,52 X 18 X 36H,5581-84*
5584,Dining Table,35.5 x 35.5 x 29.5H,5584*
5584S,Side Chair,20.25 x 23.5 x 29.5H,5584*
5585-78,Dining Table,42 x 60-78 x 30H,5585-78*
5585S,Side Chair,19.5 x 23.5 x 39.25H,5585-78*
5585-40,Server,47.75 x 18 x 36H,5585-78*
5589-90,Dining Table,42 x 72 - 90 x 30H,5589-90*
5589S,Side Chair,20 x 25 x 42.75H,5589-90*
5589-13,Bench,60 x 18 x 19.5H,5589-90*
5589-40M,Server with Smoked Glass Doors,60 x 18 x 36H,5589-90*
5592,5-Piece Pack Dinette Set,Table: 30 x 48 x 30H Chair: 18 x 14 x 19H,5592
5595GY-87,Dining Table,35.5 X 70.75-86.75 X 29.5H,5595GY-87*
5595GYS,Side Chair,17.25 X 18.25 X 31.5H,5595GY-87*
5597-53,Round Dining Table,53 Dia x 30H,5597-53*
5597WTS,Side Chair,20 X 25.5 X 32.5H,5597-53*
5599-71*,Dining Table,35.5 X 55.25 - 70.75 X 30H,5599-71*
5599S,Side Chair,23.25 X 17 X 38.75H,5599-71*
5600-36RD,"Round Dining Table, Adjustable Height",36 Dia x 30-36H,5600-36RD*
5600-24,"Round Stool, Adjustable Height",14 Dia x 18-24H,5600-36RD*
5602-36,Counter Height Table,30 X 72 X 36H,5602-36*
5602-24BK,"Swivel Counter Height Chair, Black",17.5 X 17.5 X 37.5H,5602-36*
5602-24WT,"Swivel Counter Height Chair, White",17.5 X 17.5 X 37.5H,5602-36*
5603-36,Counter Height Table,30 X 60 X 36H,5603-36*
5603-24,Counter Height Stool,21.5 X 16.5 X 24.5H,5603-36*
5604-36,Counter Height Table,36 X 60 X 36H,5604-36*
5604-24,Counter Height Stool,21.5 X 16.5 X 24.5H,5604-36*
5604-40,Server with Caster,34 X 16 X 31.5H,5604-36*
5606-45RD,Round Dining Table,45 Dia X 30H,5606-45RD*
5606S,Side Chair,17.75 X 21 X 38.5H,5606-45RD*
5607-36RD,Round Counter Height Table,36 Dia X 36H,5607-36RD*
5607-24,Counter Height Stool,19.5 Dia X 24H,5607-36RD*
5608-76,Dining Table,36 X 76 X 30H,5608-76*
5608S,Side Chair,21.5 X 19.5 X 36.5H,5608-76*
5609-48,Round Dining/Game Table,48 Dia X 30.25H,5609-48*
5609A,Arm Chair with Casters,22 X 25 X 36H,5609-48*
